trial_id,task_name,planner,planner_label,condition_label,generation_success,generation_failure_stage,runner_started,runner_return_code,runner_success,task_success,outcome_label,failure_category,operator_notes,annotated,git_commit,git_branch,hostname,ros_distro,command,first_timestamp_unix_s,last_timestamp_unix_s
make_sandwich__template__20260601T154002__78b6c636,make_sandwich,template,template,offline_template_no_run,True,,,,,,,,,False,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task make_sandwich --planner template --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id make_sandwich__template__20260601T154002__78b6c636 --experiment-log generated_bt/experiments/trials.jsonl --planner-label template --condition-label offline_template_no_run --executor-yaml src/lerobot_bt_python/make_sandwich_executor.yaml,1780328402.756479,1780328402.756479
make_sandwich__template__20260601T154036__a77c1f27,make_sandwich,template,template,offline_template_no_run,True,,,,,,,,,False,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task make_sandwich --planner template --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id make_sandwich__template__20260601T154036__a77c1f27 --experiment-log generated_bt/experiments/trials.jsonl --planner-label template --condition-label offline_template_no_run --executor-yaml src/lerobot_bt_python/make_sandwich_executor.yaml,1780328436.489966,1780328436.489966
make_sandwich__ros-service__20260601T154514__a9d21c87,make_sandwich,ros-service,constrained_linear_ir,robot_live,False,service,,,,failure,aborted,service_unavailable,ros-service trial failed because panda /lerobot_bt/generate_plan was not running; fake executor was running,True,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task make_sandwich --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id make_sandwich__ros-service__20260601T154514__a9d21c87 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/make_sandwich_executor.yaml,1780328745.1555936,1780328806.4677343
make_sandwich__ros-service__20260601T155336__0c77a9df,make_sandwich,ros-service,constrained_linear_ir,robot_live,False,service,,,,failure,aborted,service_unavailable,correction: panda /lerobot_bt/generate_plan was not running; previous success annotation was wrong,True,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task make_sandwich --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id make_sandwich__ros-service__20260601T155336__0c77a9df --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/make_sandwich_executor.yaml,1780329246.3990629,1780329717.7774363
make_sandwich__ros-service__20260601T160013__8f93444d,make_sandwich,ros-service,constrained_linear_ir,robot_live,True,,True,0,True,success,completed,none,full ROS smoke test with panda dry-run planner and fake executor; no real robot,True,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task make_sandwich --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id make_sandwich__ros-service__20260601T160013__8f93444d --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/make_sandwich_executor.yaml,1780329616.4194703,1780329653.1030042
make_sandwich__ros-service__20260601T160226__d0249ae8,make_sandwich,ros-service,constrained_linear_ir,robot_live,True,,True,0,True,,,,,False,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task make_sandwich --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id make_sandwich__ros-service__20260601T160226__d0249ae8 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/make_sandwich_executor.yaml,1780329747.403951,1780329750.7753122
make_coffee__ros-service__20260601T160230__7eb0c492,make_coffee,ros-service,constrained_linear_ir,robot_live,True,,True,0,True,,,,,False,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task make_coffee --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id make_coffee__ros-service__20260601T160230__7eb0c492 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/make_coffee_executor.yaml,1780329751.457173,1780329753.9378133
set_breakfast_table__ros-service__20260601T160234__e5e308f0,set_breakfast_table,ros-service,constrained_linear_ir,robot_live,True,,True,0,True,,,,,False,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task set_breakfast_table --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id set_breakfast_table__ros-service__20260601T160234__e5e308f0 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/set_breakfast_table_executor.yaml,1780329756.6587846,1780329760.6918056
prepare_picnic_bag__ros-service__20260601T160240__e65f6d73,prepare_picnic_bag,ros-service,constrained_linear_ir,robot_live,True,,True,0,True,,,,,False,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task prepare_picnic_bag --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id prepare_picnic_bag__ros-service__20260601T160240__e65f6d73 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/prepare_picnic_bag_executor.yaml,1780329761.3610532,1780329765.115314
items_in_drawer__ros-service__20260601T160245__f3c44304,items_in_drawer,ros-service,constrained_linear_ir,robot_live,True,,True,0,True,,,,,False,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task items_in_drawer --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id items_in_drawer__ros-service__20260601T160245__f3c44304 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/items_in_drawer_executor.yaml,1780329766.0440443,1780329768.5252857
